

DATE:	06/11/2017	TIME:	11:10:28
Initialising game took 10.26 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
Initialising game took 11.97 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	90.03		DOWN  to GRASS   and ALIVE     96.67%			11.11		90.05		READY TO SLITHER!? PRESS A KEY...
	84.70		LEFT  to GRASS   and ALIVE     93.33%			11.80		84.71		
	85.82		LEFT  to GRASS   and ALIVE     90.00%			11.65		85.83		
	62.32		UP    to GRASS   and ALIVE     86.67%			16.04		62.33		
	52.16		LEFT  to PELLET  and ALIVE     75.00%			19.10		52.37		PELLET ALERT!
	39.06		LEFT  to GRASS   and ALIVE     71.67%			25.59		39.07		
	60.44		LEFT  to GRASS   and ALIVE     68.33%			16.54		60.45		
	47.33		LEFT  to GRASS   and ALIVE     65.00%			21.12		47.34		
	64.37		LEFT  to GRASS   and ALIVE     61.67%			15.53		64.38		
	73.21		LEFT  to GRASS   and ALIVE     58.33%			13.66		73.22		
	77.41		LEFT  to GRASS   and ALIVE     55.00%			12.92		77.42		
	28.98		LEFT  to GRASS   and ALIVE     51.67%			34.51		28.98		
	48.16		LEFT  to PELLET  and ALIVE     43.50%			20.68		48.36		PELLET ALERT!
	47.69		LEFT  to GRASS   and ALIVE     40.17%			20.96		47.70		
	55.69		UP    to PELLET  and ALIVE     33.15%			17.90		55.86		PELLET ALERT!
	78.64		UP    to GRASS   and ALIVE     29.82%			12.71		78.66		
	35.98		UP    to GRASS   and ALIVE     26.48%			27.79		35.99		
	45.95		UP    to GRASS   and ALIVE     23.15%			21.76		45.96		
	70.94		RIGHT to GRASS   and ALIVE     19.82%			14.10		70.95		
	73.04		RIGHT to GRASS   and ALIVE     16.48%			13.69		73.05		
	73.03		UP    to GRASS   and ALIVE     13.15%			13.69		73.04		
	75.28		UP    to GRASS   and ALIVE     9.82%			13.28		75.29		
	79.83		RIGHT to GRASS   and ALIVE     6.48%			12.52		79.84		
	34.57		RIGHT to PELLET  and ALIVE     2.83%			28.75		34.78		PELLET ALERT!
	46.34		UP    to DEATH   and LOST GAME -0.50%			21.40		46.72		EXHAUSTED! TIME TO DIE...

DATE:	06/11/2017	TIME:	11:11:05
Initialising game took 8.84 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	54.89		LEFT  to GRASS   and ALIVE     96.67%			18.21		54.90		READY TO SLITHER!? PRESS A KEY...
	85.84		LEFT  to GRASS   and ALIVE     93.33%			11.65		85.85		
	84.81		LEFT  to GRASS   and ALIVE     90.00%			11.79		84.82		
	83.11		LEFT  to GRASS   and ALIVE     86.67%			12.03		83.11		
	51.45		LEFT  to GRASS   and ALIVE     83.33%			19.43		51.46		
	77.53		LEFT  to GRASS   and ALIVE     80.00%			12.90		77.54		
	42.35		LEFT  to GRASS   and ALIVE     76.67%			23.61		42.35		
	34.58		LEFT  to GRASS   and ALIVE     73.33%			28.91		34.59		
	59.61		LEFT  to GRASS   and ALIVE     70.00%			16.77		59.62		
	59.74		LEFT  to WALL    and ALIVE     70.00%			16.69		59.91		THAT'S A WALL!
	47.68		LEFT  to WALL    and ALIVE     70.00%			20.94		47.76		THAT'S A WALL!
	38.52		LEFT  to WALL    and ALIVE     70.00%			25.93		38.57		THAT'S A WALL!
	57.08		LEFT  to WALL    and ALIVE     70.00%			17.48		57.21		THAT'S A WALL!
	51.06		LEFT  to WALL    and ALIVE     70.00%			19.53		51.21		THAT'S A WALL!
	33.01		LEFT  to WALL    and ALIVE     70.00%			30.19		33.12		THAT'S A WALL!
	45.77		LEFT  to WALL    and ALIVE     70.00%			21.76		45.97		THAT'S A WALL!
	55.12		LEFT  to WALL    and ALIVE     70.00%			18.08		55.32		THAT'S A WALL!
	49.24		UP    to GRASS   and LOST GAME 66.67%			20.16		49.60		FROG GOT YOU!

DATE:	06/11/2017	TIME:	11:11:20
Initialising game took 21.95 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	115.97		RIGHT to GRASS   and ALIVE     96.67%			8.62		115.99		READY TO SLITHER!? PRESS A KEY...
	57.80		RIGHT to GRASS   and ALIVE     93.33%			17.30		57.81		
	50.25		RIGHT to GRASS   and ALIVE     90.00%			19.90		50.26		
	57.22		RIGHT to GRASS   and ALIVE     86.67%			17.47		57.23		
	63.57		RIGHT to GRASS   and ALIVE     83.33%			15.73		63.58		
	36.02		RIGHT to GRASS   and ALIVE     80.00%			27.76		36.03		
	18.22		RIGHT to GRASS   and ALIVE     76.67%			54.86		18.23		
	79.41		UP    to GRASS   and ALIVE     73.33%			12.59		79.42		
	42.76		UP    to GRASS   and ALIVE     70.00%			23.38		42.77		
	63.14		LEFT  to GRASS   and ALIVE     66.67%			15.83		63.15		
	68.57		LEFT  to GRASS   and ALIVE     63.33%			14.58		68.58		
	68.62		LEFT  to GRASS   and ALIVE     60.00%			14.57		68.63		
	51.41		DOWN  to GRASS   and ALIVE     56.67%			19.45		51.42		
	44.97		DOWN  to SLIME   and ALIVE     56.67%			22.14		45.17		THAT'S SLIME!
	74.51		DOWN  to SLIME   and ALIVE     56.67%			13.39		74.71		THAT'S SLIME!
	48.48		DOWN  to SLIME   and ALIVE     56.67%			20.54		48.68		THAT'S SLIME!
	25.10		DOWN  to SLIME   and ALIVE     56.67%			39.59		25.26		THAT'S SLIME!
	14.43		DOWN  to SLIME   and ALIVE     56.67%			68.88		14.52		THAT'S SLIME!
	14.03		DOWN  to SLIME   and ALIVE     56.67%			71.06		14.07		THAT'S SLIME!
	31.99		DOWN  to SLIME   and ALIVE     56.67%			31.20		32.05		THAT'S SLIME!
	75.03		DOWN  to SLIME   and ALIVE     56.67%			13.29		75.23		THAT'S SLIME!
	17.26		DOWN  to SLIME   and ALIVE     56.67%			57.42		17.42		THAT'S SLIME!
	55.43		LEFT  to GRASS   and ALIVE     53.33%			18.04		55.44		
	56.24		RIGHT to SLIME   and ALIVE     53.33%			17.72		56.44		THAT'S SLIME!
	66.63		DOWN  to GRASS   and ALIVE     50.00%			15.01		66.64		
	68.97		DOWN  to DEATH   and LOST GAME 46.67%			14.43		69.31		OH NO! A FROG!

DATE:	06/11/2017	TIME:	11:11:30
Initialising game took 23.66 us

Paint Game (ms)		Move made & Status			Health		Frame rate/s	Time/Frame (ms)	Screen messages
-----------------------------------------------------------------------------------------------------------
	91.82		QUIT  to DEATH   and ALIVE     100.00%			14.43		69.31		WELL DONE, YOU WON!

Student: Joe Garlick	DATE: 06/11/2017	TIME: 11:11:30
